Year,Overall,Overall 95% Confidence Interval,Women,Women 95% Confidence Interval,Men,Men 95% Confidence Interval
1999,123.9,123.2 - 124.6,100.8,99.9 - 101.6,163.1,161.7 - 164.4
2000,120.5,119.8 - 121.2,100.4,99.6 - 101.2,154.9,153.7 - 156.2
2001,119.9,119.2 - 120.5,101.4,100.6 - 102.2,151.1,149.9 - 152.4
2002,119.9,119.3 - 120.6,101.6,100.8 - 102.4,150.8,149.6 - 152.1
2003,119.9,119.2 - 120.5,103.1,102.3 - 103.9,147.6,146.4 - 148.8
2004,114.1,113.5 - 114.8,98.5,97.7 - 99.2,139.9,138.7 - 141.1
2005,120.6,120.0 - 121.3,104.9,104.1 - 105.7,145.7,144.5 - 146.9
2006,112.7,112.1 - 113.4,99,98.2 - 99.7,135,133.8 - 136.1
2007,113.9,113.3 - 114.6,99.7,98.9 - 100.5,136.2,135.1 - 137.3
2008,123.5,122.9 - 124.2,109,108.2 - 109.8,146.3,145.2 - 147.5
2009,117.9,117.2 - 118.5,104.8,104.0 - 105.6,138.3,137.2 - 139.4
2010,116.6,116.0 - 117.2,104,103.3 - 104.8,136,135.0 - 137.1
